"","Year","Tournament","Round","Player","Opponent","WL_P1","Result","Sets_P1","Sets_P2","X1","X2","X3","X4","X5"
"1000","2012","Paris Masters 1000","Q","David Ferrer","Jo-Wilfried Tsonga","W","6-2, 7-5","2","0","6-2","7-5","","",""
"1001","2011","Wimbledon","R16","David Ferrer","Jo-Wilfried Tsonga","L","3-6, 4-6, 6-7","0","3","3-6","4-6","6-7","",""
"1002","2010","Rome Masters 1000","Q","David Ferrer","Jo-Wilfried Tsonga","W","6-4, 6-1","2","0","6-4","6-1","","",""
"1003","2013","Kuala Lumpur Masters 250","Q","David Ferrer","Joao Sousa","L","2-6, 6-7","0","2","2-6","6-7","","",""
"1004","2016","Australian Open","R16","David Ferrer","John Isner","W","6-4, 6-4, 7-5","3","0","6-4","6-4","7-5","",""
"1005","2015","Paris Masters 1000","Q","David Ferrer","John Isner","W","6-3, 6-7, 6-2","2","1","6-3","6-7","6-2","",""
"1006","2014","Madrid Masters 1000","R16","David Ferrer","John Isner","W","6-4, 6-4","2","0","6-4","6-4","","",""
"1007","2011","Paris Masters 1000","Q","David Ferrer","John Isner","L","3-6, 6-3, 3-6","1","2","3-6","6-3","3-6","",""
"1008","2009","Miami Masters 1000","R64","David Ferrer","John Isner","W","6-3, 3-6, 6-2","2","1","6-3","3-6","6-2","",""
"1009","2007","New Haven Masters 250","R32","David Ferrer","John Isner","W","6-7(2), 6-2, 6-2","2","1","6-7","6-2","6-2","",""
"1010","2007","Cincinnati Masters 1000","R64","David Ferrer","John Isner","W","7-6(3), 6-3","2","0","7-6","6-3","","",""
"1011","2015","Madrid Masters 1000","Q","David Ferrer","Kei Nishikori","L","4-6, 2-6","0","2","4-6","2-6","","",""
"1012","2015","Acapulco Masters 500","F","David Ferrer","Kei Nishikori","W","6-3, 7-5","2","0","6-3","7-5","","",""
"1013","2015","Australian Open","R16","David Ferrer","Kei Nishikori","L","3-6, 3-6, 3-6","0","3","3-6","3-6","3-6","",""
"1014","2014","ATP WT Finals","RR","David Ferrer","Kei Nishikori","L","6-4, 4-6, 1-6","1","2","6-4","4-6","1-6","",""
"1015","2014","Paris Masters 1000","Q","David Ferrer","Kei Nishikori","L","6-3, 6-7, 4-6","1","2","6-3","6-7","4-6","",""
"1016","2014","Madrid Masters 1000","S","David Ferrer","Kei Nishikori","L","6-7, 7-5, 3-6","1","2","6-7","7-5","3-6","",""
"1017","2014","Miami Masters 1000","R16","David Ferrer","Kei Nishikori","L","6-7, 6-2, 6-7","1","2","6-7","6-2","6-7","",""
"1018","2013","Miami Masters 1000","R16","David Ferrer","Kei Nishikori","W","6-4, 6-2","2","0","6-4","6-2","","",""
"1019","2013","Australian Open","R16","David Ferrer","Kei Nishikori","W","6-2, 6-1, 6-4","3","0","6-2","6-1","6-4","",""
"1020","2011","Tokyo Masters 500","R32","David Ferrer","Kei Nishikori","W","6-4, 6-3","2","0","6-4","6-3","","",""
"1021","2008","US Open","R32","David Ferrer","Kei Nishikori","L","4-6, 4-6, 6-3, 6-2, 5-7","2","3","4-6","4-6","6-3","6-2","5-7"
"1022","2014","Roland Garros","R16","David Ferrer","Kevin Anderson","W","6-3, 6-3, 6-7(5), 6-1","3","1","6-3","6-3","6-7","6-1",""
"1023","2014","Acapulco Masters 500","Q","David Ferrer","Kevin Anderson","L","6-2, 2-4 RET","1","1","6-2","2-4 RET","","",""
"1024","2013","Roland Garros","R16","David Ferrer","Kevin Anderson","W","6-3, 6-1, 6-1","3","0","6-3","6-1","6-1","",""
"1025","2013","Indian Wells Masters 1000","R64","David Ferrer","Kevin Anderson","L","6-3, 4-6, 3-6","1","2","6-3","4-6","3-6","",""
"1026","2012","US Open","R128","David Ferrer","Kevin Anderson","W","6-4, 6-2, 7-6(3)","3","0","6-4","6-2","7-6","",""
"1027","2016","Rome Masters 1000","R16","David Ferrer","Lucas Pouille","L","4-6, 1-6","0","2","4-6","1-6","","",""
"1028","2016","Miami Masters 1000","R32","David Ferrer","Lucas Pouille","L","7-6, 6-7, 5-7","1","2","7-6","6-7","5-7","",""
"1029","2015","Nottingham Masters 250","R32","David Ferrer","Marcos Baghdatis","L","2-6, 6-7","0","2","2-6","6-7","","",""
"1030","2013","Australian Open","R32","David Ferrer","Marcos Baghdatis","W","6-4, 6-2, 6-3","3","0","6-4","6-2","6-3","",""
"1031","2010","Madrid Masters 1000","R32","David Ferrer","Marcos Baghdatis","W","1-6, 6-3, 7-5","2","1","1-6","6-3","7-5","",""
"1032","2010","Australian Open","R64","David Ferrer","Marcos Baghdatis","L","6-4, 6-3, 6-7, 3-6, 1-6","2","3","6-4","6-3","6-7","3-6","1-6"
"1033","2009","Johannesburg Masters 250","Q","David Ferrer","Marcos Baghdatis","W","7-5, 6-2","2","0","7-5","6-2","","",""
"1034","2006","Cincinnati Masters 1000","R16","David Ferrer","Marcos Baghdatis","W","7-5, 6-4","2","0","7-5","6-4","","",""
"1035","2016","Geneva Masters 250","S","David Ferrer","Marin Cilic","L","5-7, 5-7","0","2","5-7","5-7","","",""
"1036","2015","Roland Garros","R16","David Ferrer","Marin Cilic","W","6-2, 6-2, 6-4","3","0","6-2","6-2","6-4","",""
"1037","2010","Madrid Masters 1000","R16","David Ferrer","Marin Cilic","W","6-3, 6-2","2","0","6-3","6-2","","",""
"1038","2009","Cincinnati Masters 1000","R32","David Ferrer","Marin Cilic","W","7-6(4), 6-2","2","0","7-6","6-2","","",""
"1039","2009","Miami Masters 1000","R32","David Ferrer","Marin Cilic","W","3-6, 6-3, 6-4","2","1","3-6","6-3","6-4","",""
"1040","2009","Australian Open","R32","David Ferrer","Marin Cilic","L","6-7, 3-6, 4-6","0","3","6-7","3-6","4-6","",""
"1041","2014","Shanghai Masters 1000","R32","David Ferrer","Martin Klizan","W","4-6, 7-6(4), 6-4","2","1","4-6","7-6","6-4","",""
"1042","2012","Barcelona Masters 500","S","David Ferrer","Milos Raonic","W","7-6(2), 7-6(5)","2","0","7-6","7-6","","",""
"1043","2011","Shanghai Masters 1000","R32","David Ferrer","Milos Raonic","W","7-5, 7-6(7)","2","0","7-5","7-6","","",""
"1044","2011","Monte Carlo Masters 1000","R16","David Ferrer","Milos Raonic","W","6-1, 6-3","2","0","6-1","6-3","","",""
"1045","2011","Australian Open","R16","David Ferrer","Milos Raonic","W","4-6, 6-2, 6-3, 6-4","3","1","4-6","6-2","6-3","6-4",""
"1046","2013","US Open","R128","David Ferrer","Nick Kyrgios","W","7-5, 6-3, 6-2","3","0","7-5","6-3","6-2","",""
"1047","2016","Buenos Aires Masters 250","S","David Ferrer","Nicolas Almagro","L","4-6, 5-7","0","2","4-6","5-7","","",""
"1048","2014","Buenos Aires Masters 250","S","David Ferrer","Nicolas Almagro","W","6-4, 6-2","2","0","6-4","6-2","","",""
"1049","2013","Valencia Masters 500","S","David Ferrer","Nicolas Almagro","W","6-2, 6-3","2","0","6-2","6-3","","",""
"1050","2013","Australian Open","Q","David Ferrer","Nicolas Almagro","W","4-6, 4-6, 7-5, 7-6(4), 6-2","3","2","4-6","4-6","7-5","7-6","6-2"
"1051","2012","Valencia Masters 500","Q","David Ferrer","Nicolas Almagro","W","6-3, 7-5","2","0","6-3","7-5","","",""
"1052","2012","Bastad Masters 250","F","David Ferrer","Nicolas Almagro","W","6-2, 6-2","2","0","6-2","6-2","","",""
"1053","2012","Madrid Masters 1000","R16","David Ferrer","Nicolas Almagro","W","7-6(5), 3-6, 7-6(8)","2","1","7-6","3-6","7-6","",""
"1054","2012","Buenos Aires Masters 250","F","David Ferrer","Nicolas Almagro","W","4-6, 6-3, 6-2","2","1","4-6","6-3","6-2","",""
"1055","2011","Bastad Masters 250","S","David Ferrer","Nicolas Almagro","W","6-1, 6-3","2","0","6-1","6-3","","",""
"1056","2011","Barcelona Masters 500","S","David Ferrer","Nicolas Almagro","W","6-3, 6-4","2","0","6-3","6-4","","",""
"1057","2011","Acapulco Masters 500","F","David Ferrer","Nicolas Almagro","W","7-6(4), 6-7(2), 6-2","2","1","7-6","6-7","6-2","",""
"1058","2009","Valencia Masters 500","R32","David Ferrer","Nicolas Almagro","W","7-5, 6-7(3), 6-2","2","1","7-5","6-7","6-2","",""
"1059","2008","Valencia Masters 250","F","David Ferrer","Nicolas Almagro","W","4-6, 6-2, 7-6(2)","2","1","4-6","6-2","7-6","",""
"1060","2007","Bastad Masters 250","F","David Ferrer","Nicolas Almagro","W","6-1, 6-2","2","0","6-1","6-2","","",""
"1061","2006","US Open","R128","David Ferrer","Nicolas Almagro","W","7-6(1), 7-6(6), 6-1","3","0","7-6","7-6","6-1","",""
"1062","2006","Cincinnati Masters 1000","R32","David Ferrer","Nicolas Almagro","W","4-6, 7-6(1), 6-0","2","1","4-6","7-6","6-0","",""
"1063","2011","Paris Masters 1000","R32","David Ferrer","Nicolas Mahut","W","6-4, 6-4","2","0","6-4","6-4","","",""
"1064","2015","Beijing Masters 500","S","David Ferrer","Novak Djokovic","L","2-6, 3-6","0","2","2-6","3-6","","",""
"1065","2015","Rome Masters 1000","S","David Ferrer","Novak Djokovic","L","4-6, 4-6","0","2","4-6","4-6","","",""
"1066","2015","Miami Masters 1000","Q","David Ferrer","Novak Djokovic","L","5-7, 5-7","0","2","5-7","5-7","","",""
"1067","2014","Shanghai Masters 1000","Q","David Ferrer","Novak Djokovic","L","4-6, 2-6","0","2","4-6","2-6","","",""
"1068","2014","Rome Masters 1000","Q","David Ferrer","Novak Djokovic","L","5-7, 6-4, 3-6","1","2","5-7","6-4","3-6","",""
"1069","2013","Paris Masters 1000","F","David Ferrer","Novak Djokovic","L","5-7, 5-7","0","2","5-7","5-7","","",""
"1070","2013","Australian Open","S","David Ferrer","Novak Djokovic","L","2-6, 2-6, 1-6","0","3","2-6","2-6","1-6","",""
"1071","2012","US Open","S","David Ferrer","Novak Djokovic","L","6-2, 1-6, 4-6, 2-6","1","3","6-2","1-6","4-6","2-6",""
"1072","2012","Miami Masters 1000","Q","David Ferrer","Novak Djokovic","L","2-6, 6-7","0","2","2-6","6-7","","",""
"1073","2012","Australian Open","Q","David Ferrer","Novak Djokovic","L","4-6, 6-7, 1-6","0","3","4-6","6-7","1-6","",""
"1074","2011","ATP WT Finals","RR","David Ferrer","Novak Djokovic","W","6-3, 6-1","2","0","6-3","6-1","","",""
"1075","2011","Madrid Masters 1000","Q","David Ferrer","Novak Djokovic","L","4-6, 6-4, 3-6","1","2","4-6","6-4","3-6","",""
"1076","2010","Beijing Masters 500","F","David Ferrer","Novak Djokovic","L","2-6, 4-6","0","2","2-6","4-6","","",""
"1077","2009","Dubai Masters 500","F","David Ferrer","Novak Djokovic","L","5-7, 3-6","0","2","5-7","3-6","","",""
"1078","2008","Australian Open","Q","David Ferrer","Novak Djokovic","L","0-6, 3-6, 5-7","0","3","0-6","3-6","5-7","",""
"1079","2007","ATP WT Finals","RR","David Ferrer","Novak Djokovic","W","6-4, 6-4","2","0","6-4","6-4","","",""
"1080","2007","US Open","S","David Ferrer","Novak Djokovic","L","4-6, 4-6, 3-6","0","3","4-6","4-6","3-6","",""
"1081","2007","Monte Carlo Masters 1000","R16","David Ferrer","Novak Djokovic","W","7-5, 6-4","2","0","7-5","6-4","","",""
"1082","2007","Indian Wells Masters 1000","Q","David Ferrer","Novak Djokovic","L","3-6, 4-6","0","2","3-6","4-6","","",""
"1083","2004","Bucharest Masters 250","R16","David Ferrer","Novak Djokovic","W","4-6, 6-4, 6-4","2","1","4-6","6-4","6-4","",""
"1084","2014","Wimbledon","R128","David Ferrer","Pablo Carreno Busta","W","6-0, 6-7(3), 6-1, 6-1","3","1","6-0","6-7","6-1","6-1",""
"1085","2016","Buenos Aires Masters 250","Q","David Ferrer","Pablo Cuevas","W","6-4, 1-6, 6-3","2","1","6-4","1-6","6-3","",""
"1086","2010","Bastad Masters 250","Q","David Ferrer","Pablo Cuevas","W","6-3, 6-3","2","0","6-3","6-3","","",""
"1087","2010","Acapulco Masters 500","Q","David Ferrer","Pablo Cuevas","W","7-5, 6-4","2","0","7-5","6-4","","",""
"1088","2015","Barcelona Masters 500","Q","David Ferrer","Philipp Kohlschreiber","W","6-3, 7-6(5)","2","0","6-3","7-6","","",""
"1089","2014","Vienna Masters 250","S","David Ferrer","Philipp Kohlschreiber","W","6-3, 2-6, 7-6(3)","2","1","6-3","2-6","7-6","",""
"1090","2014","Cincinnati Masters 1000","R32","David Ferrer","Philipp Kohlschreiber","W","6-7(4), 7-6(4), 7-6(4)","2","1","6-7","7-6","7-6","",""
"1091","2013","Rome Masters 1000","R16","David Ferrer","Philipp Kohlschreiber","W","WO","0","0","WO","","","",""
"1092","2013","Auckland Masters 250","F","David Ferrer","Philipp Kohlschreiber","W","7-6(5), 6-1","2","0","7-6","6-1","","",""
"1093","2011","Auckland Masters 250","Q","David Ferrer","Philipp Kohlschreiber","W","6-3, 6-7(4), 6-3","2","1","6-3","6-7","6-3","",""
"1094","2010","Monte Carlo Masters 1000","Q","David Ferrer","Philipp Kohlschreiber","W","7-5, 7-6(1)","2","0","7-5","7-6","","",""
"1095","2009","Dubai Masters 500","R16","David Ferrer","Philipp Kohlschreiber","W","6-4, 6-2","2","0","6-4","6-2","","",""
"1096","2009","Auckland Masters 250","Q","David Ferrer","Philipp Kohlschreiber","W","WO","0","0","WO","","","",""
"1097","2008","Paris Masters 1000","R32","David Ferrer","Philipp Kohlschreiber","L","3-6, 2-6","0","2","3-6","2-6","","",""
"1098","2006","Indian Wells Masters 1000","R64","David Ferrer","Philipp Kohlschreiber","L","2-6, 2-6","0","2","2-6","2-6","","",""
"1099","2005","Miami Masters 1000","R128","David Ferrer","Philipp Kohlschreiber","W","6-2, 7-6","2","0","6-2","7-6","","",""
"1100","2015","ATP WT Finals","RR","David Ferrer","Rafael Nadal","L","7-6, 3-6, 4-6","1","2","7-6","3-6","4-6","",""
"1101","2015","Monte Carlo Masters 1000","Q","David Ferrer","Rafael Nadal","L","4-6, 7-5, 2-6","1","2","4-6","7-5","2-6","",""
"1102","2014","Roland Garros","Q","David Ferrer","Rafael Nadal","L","6-4, 4-6, 0-6, 1-6","1","3","6-4","4-6","0-6","1-6",""
"1103","2014","Monte Carlo Masters 1000","Q","David Ferrer","Rafael Nadal","W","7-6(1), 6-4","2","0","7-6","6-4","","",""
"1104","2013","ATP WT Finals","RR","David Ferrer","Rafael Nadal","L","3-6, 2-6","0","2","3-6","2-6","","",""
"1105","2013","Paris Masters 1000","S","David Ferrer","Rafael Nadal","W","6-3, 7-5","2","0","6-3","7-5","","",""
"1106","2013","Roland Garros","F","David Ferrer","Rafael Nadal","L","3-6, 2-6, 3-6","0","3","3-6","2-6","3-6","",""
"1107","2013","Rome Masters 1000","Q","David Ferrer","Rafael Nadal","L","4-6, 6-4, 2-6","1","2","4-6","6-4","2-6","",""
"1108","2013","Madrid Masters 1000","Q","David Ferrer","Rafael Nadal","L","6-4, 6-7, 0-6","1","2","6-4","6-7","0-6","",""
"1109","2013","Acapulco Masters 500","F","David Ferrer","Rafael Nadal","L","0-6, 2-6","0","2","0-6","2-6","","",""
"1110","2012","Roland Garros","S","David Ferrer","Rafael Nadal","L","2-6, 2-6, 1-6","0","3","2-6","2-6","1-6","",""
"1111","2012","Rome Masters 1000","S","David Ferrer","Rafael Nadal","L","6-7, 0-6","0","2","6-7","0-6","","",""
"1112","2012","Barcelona Masters 500","F","David Ferrer","Rafael Nadal","L","6-7, 5-7","0","2","6-7","5-7","","",""
"1113","2011","Barcelona Masters 500","F","David Ferrer","Rafael Nadal","L","2-6, 4-6","0","2","2-6","4-6","","",""
"1114","2011","Monte Carlo Masters 1000","F","David Ferrer","Rafael Nadal","L","4-6, 5-7","0","2","4-6","5-7","","",""
"1115","2011","Australian Open","Q","David Ferrer","Rafael Nadal","W","6-4, 6-2, 6-3","3","0","6-4","6-2","6-3","",""
"1116","2010","Rome Masters 1000","F","David Ferrer","Rafael Nadal","L","5-7, 2-6","0","2","5-7","2-6","","",""
"1117","2010","Monte Carlo Masters 1000","S","David Ferrer","Rafael Nadal","L","2-6, 3-6","0","2","2-6","3-6","","",""
"1118","2010","Miami Masters 1000","R16","David Ferrer","Rafael Nadal","L","6-7, 4-6","0","2","6-7","4-6","","",""
"1119","2009","Montreal Masters 1000","R32","David Ferrer","Rafael Nadal","L","3-4 RET","0","1","3-4 RET","","","",""
"1120","2009","Barcelona Masters 500","F","David Ferrer","Rafael Nadal","L","2-6, 5-7","0","2","2-6","5-7","","",""
"1121","2008","Barcelona Masters 500","F","David Ferrer","Rafael Nadal","L","1-6, 6-4, 1-6","1","2","1-6","6-4","1-6","",""
"1122","2008","Monte Carlo Masters 1000","Q","David Ferrer","Rafael Nadal","L","1-6, 5-7","0","2","1-6","5-7","","",""
"1123","2007","ATP WT Finals","RR","David Ferrer","Rafael Nadal","W","4-6, 6-4, 6-3","2","1","4-6","6-4","6-3","",""
"1124","2007","US Open","R16","David Ferrer","Rafael Nadal","W","6-7(3), 6-4, 7-6(4), 6-2","3","1","6-7","6-4","7-6","6-2",""
"1125","2007","Barcelona Masters 500","S","David Ferrer","Rafael Nadal","L","5-7, 1-6","0","2","5-7","1-6","","",""
"1126","2005","Roland Garros","Q","David Ferrer","Rafael Nadal","L","5-7, 2-6, 0-6","0","3","5-7","2-6","0-6","",""
"1127","2005","Rome Masters 1000","S","David Ferrer","Rafael Nadal","L","6-4, 4-6, 5-7","1","2","6-4","4-6","5-7","",""
"1128","2005","Miami Masters 1000","S","David Ferrer","Rafael Nadal","L","4-6, 3-6","0","2","4-6","3-6","","",""
"1129","2004","Stuttgart Masters 500","Q","David Ferrer","Rafael Nadal","W","6-3, 6-7, 7-5","2","1","6-3","6-7","7-5","",""
"1130","2011","Australian Open","R32","David Ferrer","Ricardas Berankis","W","6-2, 6-2, 6-1","3","0","6-2","6-2","6-1","",""
"1131","2015","Rome Masters 1000","R32","David Ferrer","Richard Gasquet","W","6-4, 7-5","2","0","6-4","7-5","","",""
"1132","2013","Beijing Masters 500","Q","David Ferrer","Richard Gasquet","L","3-6, 4-6","0","2","3-6","4-6","","",""
"1133","2013","US Open","Q","David Ferrer","Richard Gasquet","L","3-6, 1-6, 6-4, 6-2, 3-6","2","3","3-6","1-6","6-4","6-2","3-6"
"1134","2012","US Open","R16","David Ferrer","Richard Gasquet","W","7-5, 7-6(2), 6-4","3","0","7-5","7-6","6-4","",""
"1135","2012","Rome Masters 1000","Q","David Ferrer","Richard Gasquet","W","7-6(4), 6-3","2","0","7-6","6-3","","",""
"1136","2012","Australian Open","R16","David Ferrer","Richard Gasquet","W","6-4, 6-4, 6-1","3","0","6-4","6-4","6-1","",""
"1137","2009","Shanghai Masters 1000","R64","David Ferrer","Richard Gasquet","W","6-4, 6-3","2","0","6-4","6-3","","",""
"1138","2009","Dubai Masters 500","S","David Ferrer","Richard Gasquet","W","6-2, 6-2","2","0","6-2","6-2","","",""
"1139","2008","Toronto Masters 1000","R16","David Ferrer","Richard Gasquet","L","3-6, 3-6","0","2","3-6","3-6","","",""
"1140","2007","ATP WT Finals","RR","David Ferrer","Richard Gasquet","W","6-1, 6-1","2","0","6-1","6-1","","",""
"1141","2007","Tokyo Masters 500","F","David Ferrer","Richard Gasquet","W","6-1, 6-2","2","0","6-1","6-2","","",""
"1142","2004","Stuttgart Masters 500","R16","David Ferrer","Richard Gasquet","W","6-4, 6-2","2","0","6-4","6-2","","",""
"1143","2013","US Open","R64","David Ferrer","Roberto Bautista Agut","W","6-3, 6-7(5), 6-1, 6-2","3","1","6-3","6-7","6-1","6-2",""
"1144","2013","Wimbledon","R64","David Ferrer","Roberto Bautista Agut","W","6-3, 3-6, 7-6(4), 7-5","3","1","6-3","3-6","7-6","7-5",""
"1145","2014","Cincinnati Masters 1000","F","David Ferrer","Roger Federer","L","3-6, 6-1, 2-6","1","2","3-6","6-1","2-6","",""
"1146","2014","Toronto Masters 1000","Q","David Ferrer","Roger Federer","L","3-6, 6-4, 3-6","1","2","3-6","6-4","3-6","",""
"1147","2012","ATP WT Finals","RR","David Ferrer","Roger Federer","L","4-6, 6-7","0","2","4-6","6-7","","",""
"1148","2012","Madrid Masters 1000","Q","David Ferrer","Roger Federer","L","4-6, 4-6","0","2","4-6","4-6","","",""
"1149","2011","ATP WT Finals","S","David Ferrer","Roger Federer","L","5-7, 3-6","0","2","5-7","3-6","","",""
"1150","2010","ATP WT Finals","RR","David Ferrer","Roger Federer","L","1-6, 4-6","0","2","1-6","4-6","","",""
"1151","2010","Madrid Masters 1000","S","David Ferrer","Roger Federer","L","5-7, 6-3, 3-6","1","2","5-7","6-3","3-6","",""
"1152","2009","Cincinnati Masters 1000","R16","David Ferrer","Roger Federer","L","6-3, 3-6, 4-6","1","2","6-3","3-6","4-6","",""
"1153","2007","ATP WT Finals","F","David Ferrer","Roger Federer","L","2-6, 3-6, 2-6","0","3","2-6","3-6","2-6","",""
"1154","2007","Hamburg Masters 1000","Q","David Ferrer","Roger Federer","L","3-6, 6-4, 3-6","1","2","3-6","6-4","3-6","",""
"1155","2007","Monte Carlo Masters 1000","Q","David Ferrer","Roger Federer","L","4-6, 0-6","0","2","4-6","0-6","","",""
"1156","2006","Basel Masters 250","Q","David Ferrer","Roger Federer","L","3-6, 6-7","0","2","3-6","6-7","","",""
"1157","2006","Monte Carlo Masters 1000","Q","David Ferrer","Roger Federer","L","1-6, 3-6","0","2","1-6","3-6","","",""
"1158","2006","Miami Masters 1000","S","David Ferrer","Roger Federer","L","1-6, 4-6","0","2","1-6","4-6","","",""
"1159","2005","Doha Masters 250","R32","David Ferrer","Roger Federer","L","1-6, 1-6","0","2","1-6","1-6","","",""
"1160","2003","Vienna Masters 500","R32","David Ferrer","Roger Federer","L","2-6, 2-6","0","2","2-6","2-6","","",""
"1161","2010","Cincinnati Masters 1000","R32","David Ferrer","Sam Querrey","W","7-5, 6-2","2","0","7-5","6-2","","",""
"1162","2009","Auckland Masters 250","S","David Ferrer","Sam Querrey","L","6-3, 3-6, 6-7","1","2","6-3","3-6","6-7","",""
"1163","2015","ATP WT Finals","RR","David Ferrer","Stan Wawrinka","L","5-7, 2-6","0","2","5-7","2-6","","",""
"1164","2014","Monte Carlo Masters 1000","S","David Ferrer","Stan Wawrinka","L","1-6, 6-7","0","2","1-6","6-7","","",""
"1165","2013","ATP WT Finals","RR","David Ferrer","Stan Wawrinka","L","7-6, 4-6, 1-6","1","2","7-6","4-6","1-6","",""
"1166","2013","Estoril/Oeiras Masters 250","F","David Ferrer","Stan Wawrinka","L","1-6, 4-6","0","2","1-6","4-6","","",""
"1167","2013","Buenos Aires Masters 250","F","David Ferrer","Stan Wawrinka","W","6-4, 3-6, 6-1","2","1","6-4","3-6","6-1","",""
"1168","2012","Paris Masters 1000","R16","David Ferrer","Stan Wawrinka","W","6-2, 4-6, 6-2","2","1","6-2","4-6","6-2","",""
"1169","2012","Cincinnati Masters 1000","R32","David Ferrer","Stan Wawrinka","L","4-6, 1-6","0","2","4-6","1-6","","",""
"1170","2009","Cincinnati Masters 1000","R64","David Ferrer","Stan Wawrinka","W","7-5, 6-2","2","0","7-5","6-2","","",""
"1171","2008","Barcelona Masters 500","S","David Ferrer","Stan Wawrinka","W","7-6(8), 6-3","2","0","7-6","6-3","","",""
"1172","2006","Stuttgart Masters 500","R16","David Ferrer","Stan Wawrinka","W","6-3, 6-4","2","0","6-3","6-4","","",""
"1173","2006","Barcelona Masters 500","R16","David Ferrer","Stan Wawrinka","L","6-2, 2-6, 1-6","1","2","6-2","2-6","1-6","",""
"1174","2006","Zagreb Masters 250","R32","David Ferrer","Stan Wawrinka","L","6-4, 1-6, 3-6","1","2","6-4","1-6","3-6","",""
"1175","2004","Bucharest Masters 250","R32","David Ferrer","Stan Wawrinka","W","6-4, 7-6","2","0","6-4","7-6","","",""
"1176","2016","Australian Open","R32","David Ferrer","Steve Johnson","W","6-1, 6-4, 6-4","3","0","6-1","6-4","6-4","",""
"1177","2015","Vienna Masters 500","F","David Ferrer","Steve Johnson","W","4-6, 6-4, 7-5","2","1","4-6","6-4","7-5","",""
"1178","2016","Madrid Masters 1000","R16","David Ferrer","Tomas Berdych","L","6-7, 5-7","0","2","6-7","5-7","","",""
"1179","2015","Doha Masters 250","F","David Ferrer","Tomas Berdych","W","6-4, 7-5","2","0","6-4","7-5","","",""
"1180","2014","Australian Open","Q","David Ferrer","Tomas Berdych","L","1-6, 4-6, 6-2, 4-6","1","3","1-6","4-6","6-2","4-6",""
"1181","2013","ATP WT Finals","RR","David Ferrer","Tomas Berdych","L","4-6, 4-6","0","2","4-6","4-6","","",""
"1182","2013","Paris Masters 1000","Q","David Ferrer","Tomas Berdych","W","4-6, 7-5, 6-3","2","1","4-6","7-5","6-3","",""
"1183","2011","ATP WT Finals","RR","David Ferrer","Tomas Berdych","L","6-3, 5-7, 1-6","1","2","6-3","5-7","1-6","",""
"1184","2010","Kuala Lumpur Masters 250","Q","David Ferrer","Tomas Berdych","W","4-6, 7-5, 6-4","2","1","4-6","7-5","6-4","",""
"1185","2007","Paris Masters 1000","R16","David Ferrer","Tomas Berdych","W","6-4, 6-2","2","0","6-4","6-2","","",""
"1186","2006","Stuttgart Masters 500","S","David Ferrer","Tomas Berdych","W","6-3, 7-5","2","0","6-3","7-5","","",""
"1187","2005","Hamburg Masters 1000","R64","David Ferrer","Tomas Berdych","L","2-6, 6-2, 3-6","1","2","2-6","6-2","3-6","",""
"1188","2004","Palermo Masters 250","S","David Ferrer","Tomas Berdych","L","5-7, 4-6","0","2","5-7","4-6","","",""
"1189","2004","Gstaad Masters 250","R32","David Ferrer","Tomas Berdych","W","2-6, 6-3, 6-4","2","1","2-6","6-3","6-4","",""
"1190","2013","Beijing Masters 500","R32","David Ferrer","Vasek Pospisil","W","6-4, 3-6, 7-6(2)","2","1","6-4","3-6","7-6","",""
"1191","2011","Valencia Masters 500","R16","David Ferrer","Vasek Pospisil","W","6-3, 6-3","2","0","6-3","6-3","","",""
"1192","2014","Shenzhen Masters 250","R16","David Ferrer","Viktor Troicki","L","3-6, 4-6","0","2","3-6","4-6","","",""
"1193","2011","Monte Carlo Masters 1000","Q","David Ferrer","Viktor Troicki","W","6-3, 6-3","2","0","6-3","6-3","","",""
"1194","2009","Montreal Masters 1000","R64","David Ferrer","Viktor Troicki","W","6-3, 6-0","2","0","6-3","6-0","","",""
"1195","2016","Australian Open","R32","David Goffin","Dominic Thiem","W","6-1, 3-6, 7-6, 7-5","3","1","6-1","3-6","7-6","7-5",""
"1196","2015","Gstaad Masters 250","F","David Goffin","Dominic Thiem","L","5-7, 2-6","0","2","5-7","2-6","","",""
"1197","2015","Marseille Masters 250","R16","David Goffin","Dominic Thiem","L","1-5 RET","0","1","1-5 RET","","","",""
"1198","2014","Basel Masters 500","R32","David Goffin","Dominic Thiem","W","7-6(4), 6-3","2","0","7-6","6-3","","",""
"1199","2014","Kitzbuhel Masters 250","F","David Goffin","Dominic Thiem","W","4-6, 6-1, 6-3","2","1","4-6","6-1","6-3","",""
"1200","2014","London Masters 250","R64","David Goffin","Dominic Thiem","W","6-4, 6-2","2","0","6-4","6-2","","",""
"1201","2015","Beijing Masters 500","R16","David Goffin","Fabio Fognini","L","2-6, 6-2, 2-6","1","2","2-6","6-2","2-6","",""
"1202","2016","Monte Carlo Masters 1000","R64","David Goffin","Feliciano Lopez","W","7-5, 6-0","2","0","7-5","6-0","","",""
"1203","2015","s-Hertogenbosch Masters 250","S","David Goffin","Gilles Muller","W","7-6, 6-4","2","0","7-6","6-4","","",""
"1204","2015","Rotterdam Masters 500","R32","David Goffin","Gilles Muller","L","6-7, 7-6, 3-6","1","2","6-7","7-6","3-6","",""
"1205","2016","Miami Masters 1000","Q","David Goffin","Gilles Simon","W","3-6, 6-2, 6-1","2","1","3-6","6-2","6-1","",""
